year,sprint,epic_name,issues_total,issues_total_closed,issues_status_to_do,issues_status_in_progress
2023,62,[SecOps] Security Findings,,9,,
2023,62,[SecOps] Incident Management,,6,,
2023,62,[SecOps] Security Pipeline,,4,,
2023,62,[DevOps] Kubernetes 1.25,,2,,
2023,62,[SecOps] SIEM Project,,1,,
2023,62,[DevOps] Terraform Refactor,,1,,
2023,62,[DevOps] SFTP - CI/CD Process,,1,,
2023,62,[DevOps] Nexus - new architecture,,1,,
2023,62,[DevOps & DataOps] Project Arras,,1,,
2023,63,[SecOps] Incident Management,,12,,
2023,63,[SecOps] Security Findings,,3,,
2023,63,[DevOps] Dynamic Env 1.2,,3,,
2023,63,[DevOps] Migration to Okta AB,,2,,
2023,63,[DevOps] Kubernetes 1.25,,2,,
2023,63,[SecOps] SIEM Project,,1,,
2023,64,[SecOps] Incident Management,,11,,
2023,64,[SecOps] Security Findings,,9,,
2023,64,[DevOps] Kubernetes 1.25,,6,,
2023,64,[SecOps] SIEM Project,,1,,
2023,64,[DevOps] Prometheus,,1,,
2023,64,[DevOps] Migration to Okta AB,,1,,
2023,64,[DevOps & DataOps] Project Arras,,1,,
2023,65,[SecOps] Incident Management,,8,,
2023,65,[DevOps] Migration to Okta AB,,6,,
2023,65,[DevOps] Kubernetes 1.25,,5,,
2023,65,[SecOps] Security Findings,,3,,
2023,65,[DevOps] Dynamic Env 1.2,,3,,
2023,65,[SecOps] Security Pipeline,,1,,
2023,65,[SecOps] SIEM Project,,1,,
2023,65,Me Poupe!! How much is my transaction?,,1,,
2023,66,[SecOps] Incident Management,,8,,
2023,66,[SecOps] Security Findings,,6,,
2023,66,[DevOps] Incident Response - Orchestration,,3,,
2023,66,[SecOps] SIEM Project,,1,,
2023,66,[DevOps] Terraform Refactor,,1,,
2023,66,[DevOps] Migration to Okta AB,,1,,
2023,66,[DevOps] Kubernetes 1.25,,1,,
2023,67,[DevOps] Kubernetes 1.25,,12,,
2023,67,[SecOps] Incident Management,,9,,
2023,67,[SecOps] Security Findings,,7,,
2023,67,[SecOps] SIEM Project,,2,,
2023,67,[DevOps] Recover Super Bowl 23 Logs from OpenSearch,,1,,
2023,67,[DevOps] Incident Response - Orchestration,,1,,
2023,68,[DevOps] Kubernetes 1.25,,12,,
2023,68,[SecOps] Security Findings,,7,,
2023,68,[SecOps] Incident Management,,7,,
2023,68,[DevOps] OpenSearch - Searchable Snapshots,,1,,
2023,68,[DevOps] Incident Response - Orchestration,,1,,
2023,69,[SecOps] Security Findings,,8,,
2023,69,[SecOps] Incident Management,,8,,
2023,69,[DevOps] Kubernetes 1.25,,8,,
2023,69,[DataOps] GraphDB Data Science Database Instance,,3,,
2023,69,[SecOps] SIEM Project,,2,,
2023,69,[Devops] FIC Server - Standalone CI/CD cycle V1,,2,,
2023,69,[DevOps] OpenSearch - Searchable Snapshots,,2,,
2023,69,[DevOps] Terraform Refactor,,1,,
2023,69,[DevOps] Release v2.1.0,,1,,
2023,69,[DevOps] Recover Super Bowl 23 Logs from OpenSearch,,1,,
2023,69,[DevOps] BCP Improvements 2022,,1,,
2023,69,[DataOps] Decrypt 180 days of rolling PII for Data Science,,1,,
2023,70,[DevOps] Kubernetes 1.25,,13,,
2023,70,[SecOps] Incident Management,,10,,
2023,70,[SecOps] Security Findings,,5,,
2023,70,[DevOps] Release v2.1.0,,5,,
2023,70,[DevOps] Prometheus/Mimir improvements,,5,,
2023,70,[DevOps] OpenSearch - Searchable Snapshots,,4,,
2023,70,[DataOps] Decrypt 180 days of rolling PII for Data Science,,4,,
2023,70,[DataOps] GraphDB Data Science Database Instance,,3,,
2023,70,[DevOps] Incident Response - Orchestration,,1,,
2023,71,[SecOps] Security Findings,,8,,
2023,71,[DevOps] Release v2.1.0,,5,,
2023,71,[DevOps] Kubernetes 1.25,,3,,
2023,71,[DevOps] Migration to Okta AB,,2,,
2023,71,[SecOps] SIEM Project,,1,,
2023,71,[DevOps] Release v2.2.0,,1,,
2023,71,[DataOps] GraphDB Data Science Database Instance,,1,,
2023,72,[SecOps] Incident Management,,8,,
2023,72,[SecOps] Security Findings,,6,,
2023,72,[DevOps] Release v2.1.0,,6,,
2023,72,[DevOps] Terraform Refactor,,1,,
2023,72,[DevOps] Kubernetes 1.25,,1,,
2023,72,[DataOps] GraphDB Data Science Database Instance,,1,,
2023,73,[SecOps] Security Findings,,9,,
2023,73,[DevOps] Release v2.2.0,,8,,
2023,73,[DevOps] OpenSearch - Searchable Snapshots,,2,,
2023,73,[SecOps] Incident Management,,1,,
2023,73,[DevOps] Release v2.1.0,,1,,
2023,73,[DevOps] Prometheus/Mimir improvements,,1,,
2023,73,[DataOps] Create a replication flow to decrypt PII information from Neo4j PROD to Neo4j Data Instance,,1,,
2023,74,[SecOps] Security Findings,,7,,
2023,74,[SecOps] Incident Management,,5,,
2023,74,[DevOps] Release v2.2.0,,4,,
2023,74,[NetSkope] Proof of concept - DLP,,2,,
2023,74,[DataOps] Create a replication flow to decrypt PII information from Neo4j PROD to Neo4j Data Instance,,2,,
2023,74,[SecOps] SIEM Project,,1,,
2023,74,[DevOps] Release v2.1.0,,1,,
2023,74,[DevOps] Prometheus,,1,,
2023,75,[SecOps] Incident Management,,6,,
2023,75,[DevOps] Release v2.2.0,,5,,
2023,75,[DataOps] Create a replication flow to decrypt PII information from Neo4j PROD to Neo4j Data Instance,,4,,
2023,75,[SecOps] Security Findings,,3,,
2023,75,[NetSkope] Proof of concept - DLP,,2,,
2023,75,[Devops] FIC Server - Standalone CI/CD cycle V1,,1,,
2023,76,[DevOps] Release v2.2.0,,6,,
2023,76,[SecOps] Security Findings,,5,,
2023,76,[SecOps] Incident Management,,4,,
2023,76,[SecOps] SIEM Project,,2,,
2023,76,[SecOps] Create a Cyber Security Incident Response Flow and Documentation,,2,,
2023,76,[NetSkope] Proof of concept - DLP,,2,,
2023,76,[DevOps & DataOps] Project Arras,,1,,
2023,76,[DataOps] Replicate data to Neo4J Data instance,,1,,
2023,77,[ZScaler] Proof of concept - DLP,,3,,
2023,77,[SecOps] Security Findings,,2,,
2023,77,[SecOps] Create a Cyber Security Incident Response Flow and Documentation,,2,,
2023,77,[Devops] FIC Server - Standalone CI/CD cycle V2,,1,,
2023,77,[DataOps] Replicate data to Neo4J Data instance,,1,,
2023,77,[DataOps] Integrate Airflow notifications with PagerDuty,,1,,
2023,77,Email - notifications.trustly.com sending setup,,1,,
2023,78,[DevOps] Android Server,,6,,
2023,78,[DataOps] Replicate data to Neo4J Data instance,,5,,
2023,78,[SecOps] Security Findings,,3,,
2023,78,[SecOps] Create a Cyber Security Incident Response Flow and Documentation,,2,,
2023,78,[DevOps] Developers Portal using BackStage,,2,,
2023,78,[SecOps] SIEM Project,,1,,
2023,79,[DevOps] Android Server,,1,,
2023,79,[DataOps] Replicate data to Neo4J Data instance,,1,,
